Text,Class
"""Ethnic Identity and the State in Iran"" is a scholarly article that examines the complex relationship between ethnic identity and state policies in Iran. The author explores how the Iranian government navigates the diverse ethnic landscape of the country and attempts to maintain a centralized and unified national identity. The article discusses the historical and political contexts that have shaped the treatment of ethnic groups, including the Kurds, Baluchis, Arabs, and Turks, among others. It highlights the various tensions, conflicts, and resistance movements arising from the government's efforts to control and homogenize ethnic identities within the Iranian state.",1
"Ohio State Route 778 is a short two-lane highway located in Scioto County, Ohio. The route stretches for about 4 miles, connecting State Route 73 to State Route 140. It primarily serves the area of McDermott and provides access to local residences, businesses, and schools. Despite its small length, the route is an important connector for commuters and locals traveling within the region.",1
"Drew Gooden is an American commentary YouTuber who makes videos on internet celebrities, internet culture, and pop culture. As of March 2023, his YouTube channel has over 3.9 million subscribers.Before becoming a YouTuber, Gooden was a Viner best known for his ""Road Work Ahead"" Vine. He often collaborates with fellow YouTuber Danny Gonzalez and the two went on the We Are Two Different People Tour in 2019. In 2021, Gooden won the Streamy Award for Commentary.",0
"Shrek, an ogre, embarks on a journey to rescue Princess Fiona, with the help of Donkey, ultimately finding love and acceptance.",1
"Paul Des Jardien is a character in the novel ""Babbitt"" written by Sinclair Lewis. He is described as a young, ambitious and charismatic college football star who befriends the protagonist, George F. Babbitt. Paul is seen as a symbol of youth and vitality, embodying the idealistic dreams and potential of the younger generation. He becomes a source of admiration and inspiration for Babbitt, who feels trapped in a monotonous and materialistic lifestyle. However, as the story progresses, Paul's aspirations are challenged, revealing the disillusionment and conformity that lie beneath his facade.",1
"Benny M. Lefebvre was an American athlete and sports coach. After graduating from Manual Arts High School, Lefebvre had a long career in professional football that spanned from 1934 to 1949. He also served as head baseball coach at Pepperdine University from 1940 to 1941, and in 1962. He later coached several high school baseball and football teams until his retirement in 1985. His four brothers each played football, and his three sons each signed professional baseball contracts.",0
"Cane Beds, Arizona is a small, unincorporated community located in the northern part of the state. Situated near the Utah border, this rural area offers residents and visitors a picturesque desert landscape with beautiful red rock formations and stunning views. Cane Beds is known for its tranquility and is a popular destination for outdoor enthusiasts, offering opportunities for hiking, camping, and exploring the unique geological features of the region. Despite its small population, Cane Beds provides a peaceful escape in a scenic setting.",1
"Tom Tancredo, a Republican congressman from Colorado, launched his presidential campaign in 2008 with a primary focus on immigration issues. Known for his strong stance against illegal immigration, Tancredo advocated for stricter border control and enforcement measures. He criticized both Democrats and Republicans for their failure to address the issue adequately. Despite gaining some support from conservative voters, Tancredo struggled to gain momentum and dropped out of the race before the Republican primaries. His campaign brought attention to the immigration debate, but ultimately did not have a significant impact on the overall presidential race.",1
"Tuas Link MRT station, located in the western part of Singapore, is a newly opened underground station on the Tuas West Extension of the East-West Line. It serves as an important transportation hub for residents and workers in the Tuas area, providing convenient access to various industrial estates. The station features two platforms with half-height platform screen doors, ensuring passenger safety. Tuas Link MRT station also connects to the bustling Tuas Bus Terminal, making it easier for commuters to transfer between train and bus services. With its strategic location and modern facilities, the station plays a vital role in enhancing connectivity in the Tuas region.",1
"Blue Pilgrims is an Indian football fan group primarily supporting the Indian national football team. Founded in 2017, they aim to create an enthusiastic and supportive atmosphere during matches, promoting the growth of football in India. With over 12,000 members, they have successfully organized events, away trips, and various campaigns to raise awareness and develop a sense of passion for the sport. Their distinctive blue jerseys and coordinated cheers add vibrancy and unity to the stands. Blue Pilgrims continue to play a crucial role in boosting not only the morale of the Indian team but also the football culture in the country.",1
"Armenia sent a delegation to compete at the 2014 Winter Paralympics in Sochi, Russia from 7–16 March 2014. This was the nation's fifth appearance at a Winter Paralympic Games. The delegation consisted of a single alpine skier, Mher Avanesyan, who lost both arms as a child after coming into contact with a high-voltage electrical wire. In the men's standing slalom he came in 34th place out of 35 competitors who finished the race, and he failed to finish the giant slalom.",0
"The 1933 World Snooker Championship was held in Birmingham, England. The tournament was a round-robin format, where players competed against each other to determine the champion. Joe Davis, a prominent figure in snooker, won the championship for the fourth consecutive time, defeating Tom Newman in the final. Davis demonstrated his superior skills by compiling the highest break of the tournament, a remarkable 103. The victory solidified Davis' position as the premier snooker player of the era.",1
"King's Highway 112, commonly referred to as Highway 112, is a provincially maintained highway in the northern portion of the Canadian province of Ontario. Formerly part of the Ferguson Highway, the route was designated with its own number in 1953, prior to which it formed a part of Highway 11. It travels east of the current Highway 11, around Round Lake and through Dane before ending at Highway 66 southwest of Kirkland Lake.",0
"Vestby Station is a railway station located in Vestby, a municipality in Akershus, Norway. Serving as an important transportation hub, it is situated on the Østfold Line between Oslo and Ski. The station is known for its modern and aesthetically pleasing design, with sleek glass panels and wooden elements. Vestby Station offers various amenities and services for commuters, including ticket booths, waiting areas, and bicycle parking facilities. Additionally, the station has connections with local buses, making it convenient for passengers to access nearby areas. Overall, Vestby Station provides a well-equipped and visually appealing space for travelers passing through the region.",1
"K-43 is a 20.718-mile-long , and is a relatively minor highway. K-43 is not part of the National Highway System. The highway was established around 1932, with the northern terminus being the now decommissioned US-40S. In 1962, the route was extended north a bit to a new diamond interchange with I-70.",0
"Matt Byrne is most commonly known as an experienced and successful Australian playwright and director. He has written and produced numerous plays, particularly in the comedy genre, and is well-regarded for his ability to engage and entertain audiences. With a focus on creating accessible and relatable stories, Byrne's work has achieved widespread popularity and acclaim.",1
"The University of Colorado Denver is a public research university in Denver, Colorado. It is part of the University of Colorado system.",0
"The Bicknell–Armington Lightning Splitter House is a historic house at 3591 Pawtucket Avenue in East Providence, Rhode Island. The house is of a distinctive type, a ""Lightning Splitter"", of which only a few instances exist in the Providence area. It is a wood-frame structure with a steep two-story gable roof. Records suggest that the house was constructed about 1827, but architectural evidence suggests it was extensively altered in the 1850s. The main entrance and the interior has a simplified Greek Revival styling. The house was listed on the National Register of Historic Places on November 28, 1980.",0
"Haley Farm State Park is a 237-acre park located in Groton, Connecticut. The park offers diverse recreational activities such as hiking, birdwatching, fishing, and horseback riding. With over four miles of scenic trails, visitors can explore the park's forests, wetlands, and meadows. The park is also home to the historic Haley Farm, which was once a prosperous dairy farm in the late 19th and early 20th centuries. Today, the farm's buildings serve as a visitor center and provide insight into the region's agricultural history. Haley Farm State Park offers a tranquil escape for nature enthusiasts and history buffs alike.",1
"Laura de Force Gordon was a prominent American suffragist and journalist in the late 19th and early 20th centuries. Born in 1838, she began her activism journey in the 1870s, working tirelessly to secure women's voting rights and advocating for gender equality. Gordon founded various women's clubs in California and worked as an editor for prominent suffrage publications. As a multi-talented and committed activist, she fought for issues beyond suffrage, such as labor rights and prison reform. Through her writings and speeches, Gordon played a significant role in advancing women's rights and laying the foundation for future generations of activists.",1
"Nesomys narindaensis is a species of rodent native to Madagascar. It is commonly known as the Van der Straeten's Nesomys or the Narinda Forest Nesomys. This small mammal has a slender body, long tail, and dark brown fur with a white belly and feet. It is primarily found in the lowland rainforests of the northeast part of the island. Due to deforestation and habitat loss, its population is declining, making it a species of concern. Further research is necessary to fully understand its ecology and conservation status.",1
"WASP-44b is a closely orbiting Jupiter-sized planet found in the orbit of the sunlike star WASP-44 by the SuperWASP program, which searches for transiting planets that cross in front of their host stars as seen from Earth. After follow-up observations using radial velocity, the planet was confirmed. Use of another telescope at the same observatory detected WASP-44 transiting its star. The planet completes an orbit around its star every two and a half days, and orbits at roughly 0.03 AU from its host star. WASP-44b's discovery was reported by the Royal Astronomical Society in May 2011.",0
"Peter Chao, also known as Davie504, is a Canadian YouTube personality, comedian, and musician. He gained popularity through his comedic videos, parodies, and satirical vlogs, often featuring his exaggerated Chinese-Canadian persona. Peter Chao's content often involves racial and cultural stereotypes, although he claims to use satire as a means of highlighting these issues. His unique style of humor has attracted a large following, with millions of subscribers and views on his YouTube channel.",1
"""Le Dernier Combat"" is a post-apocalyptic French film directed by Luc Besson. Set in a desolate and dystopian future, it depicts a world where humanity is reduced to silence due to a catastrophe. Amidst this bleak landscape, an unnamed loner navigates a crumbling cityscape, encountering various individuals struggling to survive. Seemingly devoid of emotional connections, the loner develops a tentative bond with a scientist and a young woman. Although devoid of dialogue, the film explores primal instincts, isolation, and the desperate pursuit of love and connection in a world devoid of hope.",1
"Senegal's participation in the 1992 Winter Olympics can be described as a remarkable moment. Although the country is not known for winter sports, Lamine Gueye became Senegal's first representative in the event. Competing in alpine skiing, Gueye finished last in both the slalom and giant slalom races. However, his mere presence at the Games served as an inspiration and symbol of diversity in sports. Gueye's determination and courage paved the way for future African athletes to explore winter sports and challenge societal norms.",1
"The governor of the State of Maryland is the head of government of Maryland, and is the commander-in-chief of the state's National Guard units. The governor is the highest-ranking official in the state and has a broad range of appointive powers in both the state and local governments, as specified by the Maryland Constitution . Because of the extent of these constitutional powers, the governor of Maryland has been ranked as being among the most powerful governors in the United States.The current governor is Wes Moore, who has been in office since 2023.",0
"Aaron Michael Miller , Miller played for the Quebec Nordiques/Colorado Avalanche, the Los Angeles Kings and the Vancouver Canucks. In 2002, he was selected as a member of United States hockey team at the 2002 Winter Olympics, where he won a silver medal. Prior to making his professional debut, Miller earned a degree in business from the University of Vermont.",0
"Michael Johnson is an American mixed martial artist who competed in the Lightweight division of the Ultimate Fighting Championship . Born on March 4, 1986, in St. Louis, Missouri, Johnson had a successful career with notable victories over notable fighters like Tony Ferguson and Edson Barboza. Known for his striking and wrestling skills, Johnson has established himself as a talented fighter in the UFC Lightweight division.",1
"Reginald Tate was an English actor, veteran of many roles on stage, in films and on television. He is remembered best as the first actor to play the television science-fiction character Professor Bernard Quatermass, in the 1953 BBC Television serial The Quatermass Experiment.",0
"Somalia participated in the 2016 Summer Olympics, which were held in Rio de Janeiro, Brazil. The country was represented by two athletes, Mohamed Daud Mohamed and Maryan Nuh Muse. Mohamed competed in the men's 5,000 meters race, while Muse competed in the women's 400 meters race. Although neither athlete won a medal, their participation was significant as it showcased the resilience and determination of Somali athletes amid difficult circumstances and a lack of sporting infrastructure in their country.",1
"Marine Parade Community Building is a facility located in the Marine Parade district of Singapore. The building serves as a hub for community activities, providing a space for residents to gather and engage in various recreational, educational, and social programs. With its state-of-the-art facilities, including multi-purpose halls, meeting rooms, and sports facilities, the community building caters to diverse interests and age groups. It also hosts cultural events and workshops, promoting community bonding and fostering a sense of belonging among residents.",1
"Thomas Hawkes Nash III is a renowned entrepreneur and philanthropist with a successful track record in various industries. He is known for his innovative mindset and ability to generate ideas that disrupt traditional business models. Nash has founded and co-founded several successful startups, focusing on technology and sustainability. He has also served as a mentor and advisor to many budding entrepreneurs, sharing his expertise and knowledge. In addition to his entrepreneurial pursuits, Nash is actively involved in philanthropy, supporting various causes such as education, healthcare, and environmental conservation. He is considered an influential figure in the business world, inspiring others with his vision and dedication.",1
"The Foundation for Economic Education is an American conservative, libertarian economic think tank. Founded in 1946 in New York City, FEE is now headquartered in Atlanta, Georgia. It is a member of the State Policy Network.FEE offers publications, lectures, and student workshops promoting free market principles.",0
"Morchella importuna is a species of fungus in the family Morchellaceae described from North America in 2012. It occurs in gardens, woodchip beds, and other urban settings of northern California and the Pacific Northwest region of the United States and Canada. The fungus has also been reported from Turkey, Spain, France, Switzerland, Canada and China, although it is unknown whether this is a result of accidental introductions. It is considered a choice edible mushroom. The fruit bodies develop a distinctive ladder-like pattern of pits and ridges on the surface of their conical caps.",0
"The Digital HiNote was a series of laptop computers manufactured by Digital Equipment Corporation from 1994 until 1998 and by Compaq from 1998 until 2002. It was generally positively reviewed by technology journalists. The series consisted of the VP and Ultra models which were based on the i486, Pentium, Pentium MMX and Pentium II. After Digital was acquired by Compaq in 1998, the series was phased out.",0
"Nick van den Berg is a Dutch professional pool player. He was the runner up at the 2005 WPA World Eight-ball Championship, where he lost to Wu Chia-ching 11–5 in the final. He is a multiple time winner of events on the Euro Tour, winning 10 tournaments between 2002 and 2017, the fourth highest in the history of the tour. A six-time winner of the European Pool Championships, Van den Berg has represented Europe at the Mosconi Cup on eight occasions, winning the event on six occasions as well as tying the event in 2006.",0
"Papyrus 45 is one of the oldest surviving manuscript fragments of the New Testament, dating back to the 3rd century. It contains parts of the four Gospels, Matthew, Mark, Luke, and John, and is written in Greek. The manuscript is significant because it provides evidence of the early transmission and preservation of the Christian scriptures. Papyrus 45 is currently housed at the Chester Beatty Library in Dublin, Ireland, and serves as a valuable resource for scholars studying the text and history of the New Testament.",1
HD 28185 is a distant star located approximately 199 light-years away from Earth. It is a yellow dwarf star similar to our sun and is believed to host at least two massive planets. These planets have been detected through radial velocity measurements.,1
"Friskies is an American brand of wet and dry cat food and treats owned by Nestlé Purina PetCare Company, a subsidiary of Nestlé global. Friskies was initially introduced by Carnation Company in the 1930s as a dog food brand. When Friskies cat food was introduced in the 1950s, it was the first dry pet food product specifically for cats. The brand was acquired by Nestlé in 1985. From the 1970s to the 2000s, variations in Friskies cat food proliferated as the competition for consumer spending intensified.",0
"Michael Julian Johnson . A professional MMA competitor since 2008, Johnson mostly competed in his regional circuit, before signing onto the Ultimate Fighting Championship to appear on The Ultimate Fighter: Team GSP vs. Team Koscheck, in which he was the runner-up.",0
"""Blown for Good"" is a memoir by Marc Headley, offering a chilling account of his experiences as a member of the Church of Scientology's elite paramilitary group, the Sea Organization. He reveals the cult's oppressive practices, manipulation tactics, and his eventual escape from the organization.",1
"The Solomon Islands participated in the 2012 Summer Paralympics held in London. The country was represented by a single athlete, Hellen Saohaga, in the women's 100m T46 sprint event. Unfortunately, she did not advance past the heats.",1
"Saint Vincent and the Grenadines sent a delegation to compete at the 2008 Summer Olympics in Beijing, China. The year's team included two athletes engaged in track and field events , and was accompanied by the team coach, manager, and chaperone. Saint Vincent and the Grenadines' appearance in Beijing marked its sixth consecutive Olympic appearance since its 1988 debut in Seoul, South Korea, and its smallest delegation to date. Alexander bore the flag of Saint Vincent and the Grenadines in the opening ceremony and neither athlete medaled in their events or advanced to later rounds.",0
"At the 1968 Winter Olympics in Grenoble, France, Denmark sent a small delegation of five athletes to compete in alpine skiing and cross-country skiing. Their performance was modest, with none of the athletes achieving exceptional results. Despite their limited success, the Danish team made a notable appearance in the men's team cross-country skiing event, finishing 13th out of 15 teams. This participation marked another step in Denmark's commitment to winter sports, despite having limited national success in this area.",1
"The 2008 Port Macquarie-Hastings Council dismissal refers to the removal of the elected council of Port Macquarie-Hastings, New South Wales, Australia, by the Local Government Minister. The council was dismissed due to allegations of dysfunction, poor governance, and failure to perform its duties effectively. A report by the Department of Local Government concluded that the council had engaged in ongoing conflict among councillors, breach of code of conduct, and inability to make decisions. The dismissal led to the appointment of an interim administrator until new elections were held in 2011.",1
"Lake Neepaulin is a small man-made freshwater lake located in Wantage Township in Sussex County, New Jersey in the United States. Located in the watershed of Papakating Creek, a tributary of the Wallkill River, the lake was created in the 1950s by damming an unnamed mountain stream as the feature of a private residential development. The stream, now known as Neepaulakating Creek, did not receive a name until 2002.",0
"Washington State Route 536, also known as the Guide Meridian, is a major highway in Whatcom County, Washington. It stretches approximately 20 miles from the Canadian border to the city of Bellingham. The road serves as a significant transportation corridor, connecting various residential areas, commercial centers, and industries. It passes through the towns of Marietta-Alderwood, Lynden, and Bellis Fair, offering access to schools, shopping centers, and recreational facilities. This well-maintained route provides an essential link for commuters, tourists, and commercial vehicles, contributing to the economic development and efficient movement of goods and people within the county.",1
"The flag of Solomon Islands was officially adopted on November 18, 1977, when the country gained independence from the United Kingdom. It features a blue background, representing the surrounding Pacific Ocean, with a diagonal yellow stripe from the upper left corner to the lower right corner, symbolizing the sun. The British Union Jack is positioned in the upper left corner as a tribute to the country's former colonial power. Additionally, five white, five-pointed stars are located on the lower right corner, representing the five main islands of the archipelago. Overall, the flag represents the nation's history, natural beauty, and aspirations for a bright future.",1
The Old House of Keys refers to the former meeting place of the parliament of the Isle of Man. It served as the legislative body from 1821 until 1874.,1
"""Top Hat"" is a light-hearted musical comedy film produced in 1935. It follows the story of a famous American dancer, Jerry Travers, who falls in love with a woman named Dale Tremont while performing in London. However, mistaken identities and misunderstandings ensue as Dale believes Jerry is already wed. With enchanting dance sequences, catchy songs, and witty humor, ""Top Hat"" became a classic in the genre, showcasing the undeniable chemistry between Fred Astaire and Ginger Rogers and earning critical acclaim for its charming entertainment.",1
"In the 2008 Summer Olympics held in Beijing, China, the Central African Republic was represented by a small delegation consisting of three athletes. Bruno Banani competed in the men's 100 meters and 200 meters sprints, while Josiane Nkembe participated in the women's 400 meters event. The country's third athlete, Éric Moussambani, rose to fame in 2000 for his extraordinary performance in swimming, capturing international attention. Although none of the Central African Republic's athletes were able to secure a medal during the games, their participation showcased their commitment and determination to represent their nation on the global sporting stage.",1
"The issue of smoking in association football is a historical controversy. Traditionally, football managers would smoke on the touch-line as well as players smoking away from the pitch. However growing anti-smoking trends have led to a number of restrictions being put in place surrounding them. Smoking is now largely banned from stadiums around the world but some individual players and managers have continued to smoke.",0
"Denmark sent a delegation to compete at the 1952 Winter Olympics in Oslo, Norway from 14–25 February 1952. The kingdom was making their second appearance at a Winter Olympic Games. They were represented by one figure skater, second-time Olympian Per Cock-Clausen. In the men's singles' competition, he came in 14th and last place.",0
"Serbia participated in the 2014 Winter Paralympics held in Sochi, Russia. The country was represented by two athletes, Mitar Palikuća and Zoran Milosevic, in alpine skiing. Despite their best efforts, neither athlete managed to secure a medal. Nonetheless, their participation showcased Serbia's commitment to the Paralympic movement.",1
"Several species of Malagasy hippopotamus lived on the island of Madagascar but are now believed to be extinct. The animals were very similar to the extant hippopotamus and pygmy hippopotamus. The fossil record suggests that at least one species of hippopotamus lived until about 1,000 years ago and other evidence suggests that the species may have survived until much more recently. The taxonomy of these animals is not resolved and not widely studied. The various species are believed to have survived into the Holocene epoch.",0
"The Checkers is a renowned restaurant known for its upscale dining experience and gourmet cuisine. Located in Los Angeles, it offers a diverse menu featuring both traditional American dishes and international flavors, ensuring a memorable dining experience for patrons.",1
"Circuit City Stores, Inc. v. Adams, 532 U.S. 105 , was a United States Supreme Court case that concerned whether the ""section one exemption"" of the Federal Arbitration Act applied to an employment contract of an employee at Circuit City Stores. The Court held that the exemption was limited to the specific listing of professions contained in the text. This decision meant that general employment contracts, like the one Adams sued under, would have to be arbitrated in accordance with the federal statute.",0
"The 2010 Guatemala City sinkhole was a disaster on 30 May 2010, in which an area approximately 20 m deep collapsed in Guatemala City's Zona 2, swallowing a three-story factory. The sinkhole occurred for a combination of reasons, including Tropical Storm Agatha, the Pacaya Volcano eruption, and leakage from sewer pipes.",0
"Daniel ""Colt"" McCoy . He played college football at Texas, where he won several awards and honors as a senior in 2009. McCoy is second all-time to Boise State's Kellen Moore in games won by an NCAA Division I FBS quarterback. He was drafted by the Cleveland Browns in the third round of the 2010 NFL Draft. He has also been a member of the San Francisco 49ers, Washington Redskins, and New York Giants, mostly serving as a backup quarterback.",0
"George Morison Robertson was a prominent Australian economist and public servant. He was born on April 18, 1914, in Perth, Western Australia. Robertson's career spanned several decades, during which he served as the Secretary of the Department of the Treasury in the early 1970s and was instrumental in implementing economic reforms. He played a significant role in advancing economic development in Australia and advising on key government policies. Robertson was highly regarded for his expertise in fiscal and monetary policy, making substantial contributions to Australian economics. He passed away on December 11, 1993, leaving behind a lasting legacy in the field of economics.",1
"Mount Gareloi, or Gareloi Volcano, is a stratovolcano in the Aleutian Islands of Alaska, United States, about 1,259 miles wide with fumaroles, which can be attributed to edifice failure in the southern wall, while Gareloi's northern crater is enclosed.",0
"Hurricane Juliette was the strongest hurricane and final tropical cyclone of the inactive 1995 Pacific hurricane season. The tenth named storm of the season, Juliette formed on September 16 from a tropical wave off the southwest coast of Mexico. For the majority of its track, the storm moved toward the west-northwest, and Juliette quickly intensified to major hurricane status. On September 20, the hurricane reached peak winds of 150 mph . Later it turned toward the northeast, briefly threatening the Baja California Peninsula, although the hurricane never affected land.",0
"Vestgrensa was a light rail station on the Sognsvann Line of the Oslo Metro in Norway. It opened on 10 October 1934, and was located between Blindern and Ullevål stadion stations. The station was rebuilt when the Sognsvann Line was upgraded from light rail to metro standard in the early 1990s. It was closed on 22 August 1999, when it was replaced by the new station Forskningsparken.",0
"The Maldives competed at the 2016 Summer Olympics in Rio de Janeiro, Brazil, from 5 to 21 August 2016. This was the nation's eighth consecutive appearance at the Summer Olympics. The delegation included two track and field athletes: Hassan Saaid and Afa Ismail, as well as swimmers Ibrahim Nishwan and Aminath Shajan. Both Shajan and Ismail were returning competitors from the 2012 London Olympics, with the former leading the Maldivian squad as the flag bearer in the opening ceremony. The Maldives, however, has yet to win its first ever Olympic medal.",0
"The 2012 CECAFA Cup . The tournament, which was held in Uganda from 24 November to 8 December, saw South Sudan participate in their first international football tournament. Hosts Uganda beat Kenya in the final to extend their record to 13 titles.",0
"Oregon Route 120 and OR 99E. The Swift Highway No. 120 was created in 1931, while the OR 120 designation was created in 2002.",0
"Ralph de Luffa was a medieval bishop who served as the Bishop of Chichester from 1244 to 1253. Born into a noble family, he was appointed to several important positions within the Catholic Church, including Archdeacon of Chichester and Dean of Chichester Cathedral, before his appointment as bishop. During his tenure, he showed great zeal in defending the rights and privileges of his clergy and the church, and actively participated in the administration and reform of the diocese. His efforts to consolidate the power and influence of the church made him a respected figure among his contemporaries.",1
"William P. Ragsdale is an American actor known for his role as Herman Brooks in the television series ""Herman's Head."" He has appeared in various films and TV shows throughout his career, demonstrating his versatile acting skills. Ragsdale continues to actively work in the entertainment industry.",1
"Cowboy pool is a hybrid pool game combining elements of English billiards through an intermediary game, with more standard pocket billiards characteristics. The game employs four balls, the cue ball and three others, numbered one, three, and five. A game of Cowboy pool is contested as a race to 101 points, with those points being awarded for a host of different shot types. Dating back to 1908, the game is a strictly amateur pastime.",0
"""Girl in Mirror"" is a short story by Norman Rockwell. The story portrays a young girl standing in front of a mirror, examining her reflection. Through vivid descriptions, the author illustrates the girl's insecurities about her appearance. Despite feeling self-conscious, she ultimately learns to embrace her unique qualities and finds confidence in herself. The story highlights the universal struggle of self-acceptance and encourages readers to appreciate their own individuality.",1
"Arlen Foster Gregorio is an American attorney, politician and commercial mediator. He was a member of the California State Senate from 1971 to 1978. As a Senator he chaired the Senate Health and Welfare Committee from 1979 to 1984 and was an elected member of the San Mateo County Board of Supervisors from 1979 to 1984. After leaving politics in 1985 he began a career in mediation.",0
"California State Route 177 is a 35-mile-long north-south highway located in Riverside County, California. The road connects Interstate 10 in Desert Center to State Route 62 in the outskirts of Desert Hot Springs. It mainly serves as a connector between these two major highways, passing through the Chuckwalla Valley and providing access to Joshua Tree National Park. The route offers scenic desert views and is primarily used for local and regional travel, with limited services and communities along its path.",1
